Circuit: * C:\Users\ariel\InformesTC\TP2\graficos\ejercicio4\spice\integrador.asc
vernier = 0.0032311
vernier = 0.00161555
Gmin = 64.4308
vernier = 0.00215406
Gmin = 64.1193
vernier = 0.00287208
vernier = 0.00143604
vernier = 0.00191472
Gmin = 63.9125
vernier = 0.00255296
vernier = 0.00340395
Gmin = 63.5229
vernier = 0.00170197
vernier = 0.0022693
Gmin = 63.2981
vernier = 0.00302573
vernier = 0.00151287
vernier = 0.00201715
Gmin = 63.0751
vernier = 0.00268954
Gmin = 62.7052
vernier = 0.00358605
vernier = 0.00179302
vernier = 0.0023907
Gmin = 62.4482
vernier = 0.0031876
vernier = 0.0015938
Gmin = 62.1999
vernier = 0.00212506
vernier = 0.00283342
vernier = 0.00141671
Gmin = 61.9554
vernier = 0.00188894
Gmin = 61.6927
vernier = 0.00251859
vernier = 0.00335812
vernier = 0.00167906
Gmin = 61.4085
vernier = 0.00223875
vernier = 0.002985
Gmin = 61.0801
vernier = 0.0014925
vernier = 0.00199
Gmin = 60.8905
vernier = 0.00265333
vernier = 0.00132666
vernier = 0.00176889
Gmin = 60.7024
vernier = 0.00235851
Gmin = 60.3901
vernier = 0.00314468
vernier = 0.00157234
vernier = 0.00209646
Gmin = 60.1729
vernier = 0.00279527
vernier = 0.00139764
Gmin = 59.9631
vernier = 0.00186351
vernier = 0.00248469
vernier = 0.00124234
Gmin = 59.7563
vernier = 0.00165646
Gmin = 59.5341
vernier = 0.00220861
vernier = 0.00294481
vernier = 0.00147241
Gmin = 59.2935
vernier = 0.00196321
vernier = 0.00261761
Gmin = 59.0154
vernier = 0.0013088
vernier = 0.00174507
Gmin = 58.8547
vernier = 0.00232676
vernier = 0.00310235
vernier = 0.00155117
Gmin = 58.5986
vernier = 0.00206823
Gmin = 58.3341
vernier = 0.00275764
vernier = 0.00137882
vernier = 0.00183843
Gmin = 58.1501
vernier = 0.00245124
vernier = 0.00122562
Gmin = 57.9723
vernier = 0.00163416
vernier = 0.00217887
Gmin = 57.7183
vernier = 0.00290517
vernier = 0.00145258
Gmin = 57.5195
vernier = 0.00193678
vernier = 0.00258237
vernier = 0.00129118
Gmin = 57.3157
vernier = 0.00172158
vernier = 0.00229544
Gmin = 57.0798
vernier = 0.00114772
vernier = 0.00153029
Gmin = 56.9435
vernier = 0.00204039
vernier = 0.00272052
vernier = 0.00136026
Gmin = 56.7262
vernier = 0.00181368
Gmin = 56.5016
vernier = 0.00241824
vernier = 0.00120912
vernier = 0.00161216
Gmin = 56.3453
vernier = 0.00214954
Gmin = 56.0735
vernier = 0.00286605
vernier = 0.00143303
vernier = 0.0019107
Gmin = 55.893
vernier = 0.0025476
vernier = 0.0012738
Gmin = 55.7242
vernier = 0.0016984
vernier = 0.00226453
vernier = 0.00113227
Gmin = 55.551
vernier = 0.00150969
vernier = 0.00201292
Gmin = 55.3505
vernier = 0.00268389
vernier = 0.00134195
Gmin = 55.1559
vernier = 0.00178926
vernier = 0.00238568
vernier = 0.00119284
Gmin = 54.9712
vernier = 0.00159045
Gmin = 54.7803
vernier = 0.0021206
vernier = 0.0010603
vernier = 0.00141374
Gmin = 54.6474
vernier = 0.00188498
Gmin = 54.4162
vernier = 0.00251331
vernier = 0.00125665
vernier = 0.00167554
Gmin = 54.2625
vernier = 0.00223405
vernier = 0.00111702
Gmin = 54.1188
vernier = 0.00148937
vernier = 0.00198582
Gmin = 53.891
vernier = 0.00264776
vernier = 0.00132388
vernier = 0.00176517
Gmin = 53.7248
vernier = 0.00235356
vernier = 0.00117678
Gmin = 53.5591
vernier = 0.00156904
vernier = 0.00209205
vernier = 0.00104603
Gmin = 53.4018
vernier = 0.0013947
Gmin = 53.2391
vernier = 0.0018596
vernier = 0.00247947
vernier = 0.00123974
Gmin = 53.0559
vernier = 0.00165298
Gmin = 52.859
vernier = 0.00220397
vernier = 0.00110199
vernier = 0.00146931
Gmin = 52.7281
vernier = 0.00195909
vernier = 0.000979543
Gmin = 52.6056
vernier = 0.00130606
vernier = 0.00174141
Gmin = 52.4114
vernier = 0.00232188
vernier = 0.00116094
vernier = 0.00154792
Gmin = 52.2696
vernier = 0.00206389
vernier = 0.00103194
Gmin = 52.1282
vernier = 0.00137593
vernier = 0.00183457
Gmin = 51.9463
vernier = 0.00244609
vernier = 0.00122304
Gmin = 51.7877
vernier = 0.00163073
vernier = 0.0021743
vernier = 0.00108715
Gmin = 51.6314
vernier = 0.00144953
Gmin = 51.4633
vernier = 0.00193271
vernier = 0.000966356
vernier = 0.00128847
Gmin = 51.3515
vernier = 0.00171796
vernier = 0.00229062
Gmin = 51.1407
vernier = 0.00114531
vernier = 0.00152708
Gmin = 51.0188
vernier = 0.0020361
vernier = 0.00101805
vernier = 0.0013574
Gmin = 50.8978
vernier = 0.00180987
vernier = 0.000904935
Gmin = 50.777
vernier = 0.00120658
vernier = 0.00160877
Gmin = 50.6216
vernier = 0.00214503
vernier = 0.00107251
Gmin = 50.486
vernier = 0.00143002
vernier = 0.00190669
vernier = 0.000953346
Gmin = 50.3524
vernier = 0.00127113
Gmin = 50.2086
vernier = 0.00169484
vernier = 0.00225978
vernier = 0.00112989
Gmin = 50.0529
vernier = 0.00150652
vernier = 0.00200869
Gmin = 49.8726
vernier = 0.00100435
vernier = 0.00133913
Gmin = 49.7683
vernier = 0.0017855
vernier = 0.000892752
vernier = 0.00119034
Gmin = 49.6648
vernier = 0.00158711
Gmin = 49.4927
vernier = 0.00211615
vernier = 0.00105808
vernier = 0.00141077
Gmin = 49.3728
vernier = 0.00188102
vernier = 0.000940511
Gmin = 49.2569
vernier = 0.00125401
vernier = 0.00167202
Gmin = 49.0912
vernier = 0.00083601
vernier = 0.00111468
Gmin = 48.9921
vernier = 0.00148624
Gmin = 48.8286
vernier = 0.00198165
vernier = 0.000990826
vernier = 0.0013211
Gmin = 48.7199
vernier = 0.00176147
vernier = 0.000880733
Gmin = 48.6181
vernier = 0.00117431
vernier = 0.00156575
Gmin = 48.4566
vernier = 0.00208766
vernier = 0.00104383
vernier = 0.00139177
Gmin = 48.3388
vernier = 0.0018557
vernier = 0.00092785
Gmin = 48.2212
vernier = 0.00123713
vernier = 0.00164951
vernier = 0.000824755
Gmin = 48.1095
vernier = 0.00109967
Gmin = 47.9939
vernier = 0.00146623
vernier = 0.00195497
vernier = 0.000977487
Gmin = 47.8636
vernier = 0.00130332
Gmin = 47.7235
vernier = 0.00173775
vernier = 0.000868876
vernier = 0.0011585
Gmin = 47.6303
vernier = 0.00154467
vernier = 0.00205956
Gmin = 47.4544
vernier = 0.00102978
vernier = 0.00137304
Gmin = 47.3527
vernier = 0.00183072
vernier = 0.000915358
vernier = 0.00122048
Gmin = 47.2517
vernier = 0.0016273
vernier = 0.000813652
Gmin = 47.1509
vernier = 0.00108487
vernier = 0.00144649
Gmin = 47.0211
vernier = 0.00192865
vernier = 0.000964327
Gmin = 46.9079
vernier = 0.00128577
vernier = 0.00171436
vernier = 0.000857179
Gmin = 46.7962
vernier = 0.00114291
Gmin = 46.676
vernier = 0.00152387
vernier = 0.000761937
vernier = 0.00101592
Gmin = 46.5961
vernier = 0.00135455
vernier = 0.00180607
Gmin = 46.4451
vernier = 0.000903035
vernier = 0.00120405
Gmin = 46.3579
vernier = 0.0016054
vernier = 0.000802698
vernier = 0.00107026
Gmin = 46.2711
vernier = 0.00142702
Gmin = 46.1269
vernier = 0.00190269
vernier = 0.000951345
vernier = 0.00126846
Gmin = 46.0265
vernier = 0.00169128
vernier = 0.000845639
Gmin = 45.9293
vernier = 0.00112752
vernier = 0.00150336
vernier = 0.000751679
Gmin = 45.8334
vernier = 0.00100224
Gmin = 45.7302
vernier = 0.00133632
vernier = 0.00178176
vernier = 0.000890878
Gmin = 45.6183
vernier = 0.00118784
vernier = 0.00158378
Gmin = 45.4887
vernier = 0.000791891
vernier = 0.00105585
Gmin = 45.4137
vernier = 0.00140781
vernier = 0.00187707
vernier = 0.000938537
Gmin = 45.294
vernier = 0.00125138
Gmin = 45.1702
vernier = 0.00166851
vernier = 0.000834255
vernier = 0.00111234
Gmin = 45.0839
vernier = 0.00148312
vernier = 0.000741559
Gmin = 45.0004
vernier = 0.000988746
vernier = 0.00131833
Gmin = 44.881
vernier = 0.00175777
vernier = 0.000878885
Gmin = 44.7875
vernier = 0.00117185
vernier = 0.00156246
vernier = 0.00078123
Gmin = 44.6914
vernier = 0.00104164
vernier = 0.00138885
Gmin = 44.58
vernier = 0.000694427
vernier = 0.000925902
Gmin = 44.5155
vernier = 0.00123454
vernier = 0.00164605
vernier = 0.000823024
Gmin = 44.4126
vernier = 0.00109736
Gmin = 44.3062
vernier = 0.00146315
vernier = 0.000731576
vernier = 0.000975435
Gmin = 44.2319
vernier = 0.00130058
Gmin = 44.1027
vernier = 0.00173411
vernier = 0.000867053
vernier = 0.00115607
Gmin = 44.0168
vernier = 0.00154143
vernier = 0.000770713
Gmin = 43.9363
vernier = 0.00102762
vernier = 0.00137016
vernier = 0.000685078
Gmin = 43.8536
vernier = 0.000913437
vernier = 0.00121792
Gmin = 43.7577
vernier = 0.00162389
vernier = 0.000811944
Gmin = 43.6646
vernier = 0.00108259
vernier = 0.00144345
vernier = 0.000721727
Gmin = 43.5761
vernier = 0.000962303
Gmin = 43.4844
vernier = 0.00128307
vernier = 0.00171076
vernier = 0.00085538
Gmin = 43.3811
vernier = 0.00114051
Gmin = 43.27
vernier = 0.00152067
vernier = 0.000760337
vernier = 0.00101378
Gmin = 43.196
vernier = 0.00135171
vernier = 0.000675855
Gmin = 43.1267
vernier = 0.00090114
vernier = 0.00120152
Gmin = 43.0168
vernier = 0.00160203
vernier = 0.000801013
vernier = 0.00106802
Gmin = 42.9365
vernier = 0.00142402
vernier = 0.000712011
Gmin = 42.8563
vernier = 0.000949348
vernier = 0.0012658
Gmin = 42.753
vernier = 0.00168773
vernier = 0.000843864
Gmin = 42.6629
vernier = 0.00112515
vernier = 0.0015002
vernier = 0.000750101
Gmin = 42.574
vernier = 0.00100013
Gmin = 42.4784
vernier = 0.00133351
vernier = 0.000666756
vernier = 0.000889008
Gmin = 42.4147
vernier = 0.00118534
vernier = 0.00158046
Gmin = 42.2944
vernier = 0.000790229
vernier = 0.00105364
Gmin = 42.2249
vernier = 0.00140485
vernier = 0.000702425
vernier = 0.000936567
Gmin = 42.1557
vernier = 0.00124876
vernier = 0.000624378
Gmin = 42.0867
vernier = 0.000832504
vernier = 0.00111
Gmin = 41.9977
vernier = 0.00148001
vernier = 0.000740003
Gmin = 41.9201
vernier = 0.00098667
vernier = 0.00131556
vernier = 0.00065778
Gmin = 41.8435
vernier = 0.00087704
Gmin = 41.761
vernier = 0.00116939
vernier = 0.00155918
vernier = 0.00077959
Gmin = 41.6716
vernier = 0.00103945
vernier = 0.00138594
Gmin = 41.568
vernier = 0.000692969
vernier = 0.000923958
Gmin = 41.508
vernier = 0.00123194
vernier = 0.000615972
vernier = 0.000821296
Gmin = 41.4484
vernier = 0.00109506
Gmin = 41.3492
vernier = 0.00146008
vernier = 0.00073004
vernier = 0.000973387
Gmin = 41.2801
vernier = 0.00129785
vernier = 0.000648924
Gmin = 41.2132
vernier = 0.000865232
vernier = 0.00115364
Gmin = 41.1175
vernier = 0.00153819
vernier = 0.000769095
Gmin = 41.0425
vernier = 0.00102546
vernier = 0.00136728
vernier = 0.00068364
Gmin = 40.9654
vernier = 0.000911519
vernier = 0.00121536
Gmin = 40.876
vernier = 0.000607679
vernier = 0.000810239
Gmin = 40.8243
vernier = 0.00108032
vernier = 0.00144042
vernier = 0.000720212
Gmin = 40.7417
vernier = 0.000960283
Gmin = 40.6563
vernier = 0.00128038
vernier = 0.000640188
vernier = 0.000853584
Gmin = 40.5967
vernier = 0.00113811
Gmin = 40.4928
vernier = 0.00151748
vernier = 0.000758741
vernier = 0.00101165
Gmin = 40.4238
vernier = 0.00134887
vernier = 0.000674436
Gmin = 40.3591
vernier = 0.000899248
vernier = 0.001199
vernier = 0.000599499
Gmin = 40.2926
vernier = 0.000799331
vernier = 0.00106577
Gmin = 40.2155
vernier = 0.00142103
vernier = 0.000710516
Gmin = 40.1406
vernier = 0.000947355
vernier = 0.00126314
vernier = 0.00063157
Gmin = 40.0694
vernier = 0.000842093
Gmin = 39.9956
vernier = 0.00112279
vernier = 0.000561395
vernier = 0.000748526
Gmin = 39.9442
vernier = 0.000998035
Gmin = 39.8546
vernier = 0.00133071
vernier = 0.000665357
vernier = 0.000887142
Gmin = 39.795
vernier = 0.00118286
vernier = 0.000591428
Gmin = 39.7392
vernier = 0.00078857
vernier = 0.00105143
Gmin = 39.6505
vernier = 0.0014019
vernier = 0.000700951
vernier = 0.000934601
Gmin = 39.5857
vernier = 0.00124613
vernier = 0.000623067
Gmin = 39.521
vernier = 0.000830756
vernier = 0.00110767
vernier = 0.000553837
Gmin = 39.4595
vernier = 0.000738449
Gmin = 39.3958
vernier = 0.000984599
vernier = 0.0013128
vernier = 0.000656399
Gmin = 39.324
vernier = 0.000875199
Gmin = 39.2466
vernier = 0.00116693
vernier = 0.000583466
vernier = 0.000777954
Gmin = 39.1951
vernier = 0.00103727
vernier = 0.00138303
Gmin = 39.0979
vernier = 0.000691514
vernier = 0.000922019
Gmin = 39.0416
vernier = 0.00122936
vernier = 0.000614679
vernier = 0.000819572
Gmin = 38.9856
vernier = 0.00109276
vernier = 0.000546381
Gmin = 38.9298
vernier = 0.000728508
vernier = 0.000971344
Gmin = 38.8578
vernier = 0.00129512
vernier = 0.000647562
Gmin = 38.7949
vernier = 0.000863416
vernier = 0.00115122
vernier = 0.000575611
Gmin = 38.7329
vernier = 0.000767481
Gmin = 38.666
vernier = 0.00102331
vernier = 0.00136441
vernier = 0.000682205
Gmin = 38.5936
vernier = 0.000909606
vernier = 0.00121281
Gmin = 38.5096
vernier = 0.000606404
vernier = 0.000808538
Gmin = 38.4609
vernier = 0.00107805
vernier = 0.000539025
vernier = 0.0007187
Gmin = 38.4126
vernier = 0.000958267
Gmin = 38.3322
vernier = 0.00127769
vernier = 0.000638844
vernier = 0.000851792
Gmin = 38.2761
vernier = 0.00113572
vernier = 0.000567861
Gmin = 38.2218
vernier = 0.000757148
vernier = 0.00100953
Gmin = 38.1441
vernier = 0.000504765
vernier = 0.00067302
Gmin = 38.0976
vernier = 0.00089736
Gmin = 38.0208
vernier = 0.00119648
vernier = 0.00059824
vernier = 0.000797653
Gmin = 37.9697
vernier = 0.00106354
vernier = 0.000531769
Gmin = 37.9217
vernier = 0.000709025
vernier = 0.000945366
Gmin = 37.8456
vernier = 0.00126049
vernier = 0.000630244
vernier = 0.000840325
Gmin = 37.79
vernier = 0.00112043
vernier = 0.000560217
Gmin = 37.7345
vernier = 0.000746955
vernier = 0.00099594
vernier = 0.00049797
Gmin = 37.6817
vernier = 0.00066396
Gmin = 37.627
vernier = 0.00088528
vernier = 0.00118037
vernier = 0.000590186
Gmin = 37.5653
vernier = 0.000786915
Gmin = 37.4989
vernier = 0.00104922
vernier = 0.00052461
vernier = 0.000699479
Gmin = 37.4546
vernier = 0.000932639
vernier = 0.00124352
Gmin = 37.371
vernier = 0.000621759
vernier = 0.000829012
Gmin = 37.3227
vernier = 0.00110535
vernier = 0.000552675
vernier = 0.000736899
Gmin = 37.2746
vernier = 0.000982532
vernier = 0.000491266
Gmin = 37.2265
vernier = 0.000655021
vernier = 0.000873361
Gmin = 37.1646
vernier = 0.00116448
vernier = 0.000582241
Gmin = 37.1106
vernier = 0.000776321
vernier = 0.00103509
vernier = 0.000517547
Gmin = 37.0572
vernier = 0.000690063
Gmin = 36.9997
vernier = 0.000920083
vernier = 0.00122678
vernier = 0.000613389
Gmin = 36.9373
vernier = 0.000817851
vernier = 0.00109047
Gmin = 36.865
vernier = 0.000545234
vernier = 0.000726979
Gmin = 36.8232
vernier = 0.000969305
vernier = 0.000484652
vernier = 0.000646203
Gmin = 36.7816
vernier = 0.000861604
Gmin = 36.7123
vernier = 0.0011488
vernier = 0.000574402
vernier = 0.00076587
Gmin = 36.664
vernier = 0.00102116
vernier = 0.00051058
Gmin = 36.6173
vernier = 0.000680773
vernier = 0.000907697
Gmin = 36.5504
vernier = 0.00121026
vernier = 0.000605131
Gmin = 36.4979
vernier = 0.000806841
vernier = 0.00107579
vernier = 0.000537894
Gmin = 36.4439
vernier = 0.000717192
vernier = 0.000956255
Gmin = 36.3814
vernier = 0.000478128
vernier = 0.000637503
Gmin = 36.3451
vernier = 0.000850004
vernier = 0.00113334
vernier = 0.000566669
Gmin = 36.2873
vernier = 0.000755559
Gmin = 36.2273
vernier = 0.00100741
vernier = 0.000503706
vernier = 0.000671608
Gmin = 36.1856
vernier = 0.000895477
Gmin = 36.1127
vernier = 0.00119397
vernier = 0.000596984
vernier = 0.000795979
Gmin = 36.0643
vernier = 0.0010613
vernier = 0.000530652
Gmin = 36.0188
vernier = 0.000707536
vernier = 0.000943382
vernier = 0.000471691
Gmin = 35.9722
vernier = 0.000628921
vernier = 0.000838561
Gmin = 35.918
vernier = 0.00111808
vernier = 0.000559041
Gmin = 35.8653
vernier = 0.000745387
vernier = 0.000993849
vernier = 0.000496925
Gmin = 35.8152
vernier = 0.000662566
Gmin = 35.7634
vernier = 0.000883421
vernier = 0.00117789
vernier = 0.000588947
Gmin = 35.7048
vernier = 0.000785263
Gmin = 35.6418
vernier = 0.00104702
vernier = 0.000523508
vernier = 0.000698011
Gmin = 35.5999
vernier = 0.000930681
vernier = 0.000465341
Gmin = 35.5605
vernier = 0.000620454
vernier = 0.000827272
Gmin = 35.4981
vernier = 0.00110303
vernier = 0.000551514
vernier = 0.000735352
Gmin = 35.4524
vernier = 0.00098047
vernier = 0.000490235
Gmin = 35.4069
vernier = 0.000653646
vernier = 0.000871528
vernier = 0.000435764
Gmin = 35.3635
vernier = 0.000581019
Gmin = 35.3186
vernier = 0.000774691
vernier = 0.00103292
vernier = 0.000516461
Gmin = 35.2679
vernier = 0.000688614
Gmin = 35.2133
vernier = 0.000918152
vernier = 0.000459076
vernier = 0.000612101
Gmin = 35.1769
vernier = 0.000816135
vernier = 0.00108818
Gmin = 35.1082
vernier = 0.00054409
vernier = 0.000725453
Gmin = 35.0685
vernier = 0.00096727
vernier = 0.000483635
vernier = 0.000644846
Gmin = 35.0289
vernier = 0.000859795
vernier = 0.000429898
Gmin = 34.9894
vernier = 0.000573197
vernier = 0.000764262
Gmin = 34.9385
vernier = 0.00101902
vernier = 0.000509508
Gmin = 34.894
vernier = 0.000679344
vernier = 0.000905791
vernier = 0.000452896
Gmin = 34.8501
vernier = 0.000603861
Gmin = 34.8028
vernier = 0.000805147
vernier = 0.00107353
vernier = 0.000536765
Gmin = 34.7514
vernier = 0.000715686
vernier = 0.000954248
Gmin = 34.6919
vernier = 0.000477124
vernier = 0.000636165
Gmin = 34.6574
vernier = 0.00084822
vernier = 0.00042411
vernier = 0.00056548
Gmin = 34.6232
vernier = 0.000753973
Gmin = 34.5661
vernier = 0.0010053
vernier = 0.000502648
vernier = 0.000670198
Gmin = 34.5263
vernier = 0.000893597
vernier = 0.000446798
Gmin = 34.4878
vernier = 0.000595731
vernier = 0.000794308
Gmin = 34.4326
vernier = 0.00105908
vernier = 0.000529538
Gmin = 34.3893
vernier = 0.000706051
vernier = 0.000941401
vernier = 0.000470701
Gmin = 34.3449
vernier = 0.000627601
vernier = 0.000836801
Gmin = 34.2933
vernier = 0.0004184
vernier = 0.000557867
Gmin = 34.2634
vernier = 0.000743823
vernier = 0.000991763
vernier = 0.000495882
Gmin = 34.2156
vernier = 0.000661175
Gmin = 34.1662
vernier = 0.000881567
vernier = 0.000440783
vernier = 0.000587711
Gmin = 34.1317
vernier = 0.000783615
Gmin = 34.0716
vernier = 0.00104482
vernier = 0.00052241
