Freq.	V(n007)/I(R1a_3)
3.51634322297988e+002	(1.15024914499053e+002dB,1.03008310783302e+002°)
3.59824937852923e+002	(1.14824059200654e+002dB,1.03361539623924e+002°)
3.68206337352754e+002	(1.14623538375915e+002dB,1.03725317355526e+002°)
3.76782964726436e+002	(1.14423393019437e+002dB,1.04099931819302e+002°)
3.85559367415329e+002	(1.14223667211079e+002dB,1.04485670010508e+002°)
3.94540198784307e+002	(1.14024408238918e+002dB,1.04882816849680e+002°)
4.03730220589037e+002	(1.13825666714769e+002dB,1.05291653832895e+002°)
4.13134305500724e+002	(1.13627496680235e+002dB,1.05712457558490e+002°)
4.22757439689667e+002	(1.13429955701073e+002dB,1.06145498128866e+002°)
4.32604725468990e+002	(1.13233104947524e+002dB,1.06591037427433e+002°)
4.42681383999957e+002	(1.13037009258081e+002dB,1.07049327272381e+002°)
4.52992758060302e+002	(1.12841737184062e+002dB,1.07520607450879e+002°)
4.63544314877038e+002	(1.12647361012239e+002dB,1.08005103639400e+002°)
4.74341649025256e+002	(1.12453956762717e+002dB,1.08503025218231e+002°)
4.85390485394441e+002	(1.12261604159212e+002dB,1.09014562990778e+002°)
4.96696682223886e+002	(1.12070386568919e+002dB,1.09539886821054e+002°)
5.08266234208803e+002	(1.11880390909206e+002dB,1.10079143205643e+002°)
5.20105275678796e+002	(1.11691707518554e+002dB,1.10632452799462e+002°)
5.32220083850362e+002	(1.11504429989318e+002dB,1.11199907917764e+002°)
5.44617082155151e+002	(1.11318654960217e+002dB,1.11781570039913e+002°)
5.57302843645758e+002	(1.11134481866808e+002dB,1.12377467343472e+002°)
5.70284094480841e+002	(1.10952012648646e+002dB,1.12987592299999e+002°)
5.83567717491420e+002	(1.10771351412401e+002dB,1.13611899366516e+002°)
5.97160755830245e+002	(1.10592604050796e+002dB,1.14250302808807e+002°)
6.11070416706168e+002	(1.10415877817955e+002dB,1.14902674694406e+002°)
6.25304075205502e+002	(1.10241280862525e+002dB,1.15568843094200e+002°)
6.39869278202387e+002	(1.10068921720774e+002dB,1.16248590531985e+002°)
6.54773748360247e+002	(1.09898908772755e+002dB,1.16941652720797e+002°)
6.70025388226443e+002	(1.09731349665526e+002dB,1.17647717623501e+002°)
6.85632284422311e+002	(1.09566350708343e+002dB,1.18366424872749e+002°)
7.01602711930795e+002	(1.09404016245630e+002dB,1.19097365582003e+002°)
7.17945138483956e+002	(1.09244448014355e+002dB,1.19840082574910e+002°)
7.34668229052667e+002	(1.09087744493217e+002dB,1.20594071054818e+002°)
7.51780850440906e+002	(1.08934000251677e+002dB,1.21358779729858e+002°)
7.69292075987045e+002	(1.08783305307378e+002dB,1.22133612401695e+002°)
7.87211190374657e+002	(1.08635744500817e+002dB,1.22917930018171e+002°)
8.05547694555377e+002	(1.08491396896299e+002dB,1.23711053181525e+002°)
8.24311310786434e+002	(1.08350335218096e+002dB,1.24512265095199e+002°)
8.43511987785521e+002	(1.08212625330490e+002dB,1.25320814923435e+002°)
8.63159906005733e+002	(1.08078325769818e+002dB,1.26135921529338e+002°)
8.83265483033381e+002	(1.07947487335953e+002dB,1.26956777549105e+002°)
9.03839379111534e+002	(1.07820152749682e+002dB,1.27782553752866e+002°)
9.24892502792220e+002	(1.07696356381354e+002dB,1.28612403636428e+002°)
9.46436016720287e+002	(1.07576124054878e+002dB,1.29445468183290e+002°)
9.68481343551980e+002	(1.07459472929805e+002dB,1.30280880732825e+002°)
9.91040172011391e+002	(1.07346411462738e+002dB,1.31117771888570e+002°)
1.01412446308797e+003	(1.07236939447866e+002dB,1.31955274400301e+002°)
1.03774645637840e+003	(1.07131048134932e+002dB,1.32792527954855e+002°)
1.06191867657620e+003	(1.07028720421574e+002dB,1.33628683813546e+002°)
1.08665394011248e+003	(1.06929931115685e+002dB,1.34462909238339e+002°)
1.11196536195137e+003	(1.06834647262257e+002dB,1.35294391654505e+002°)
1.13786636254377e+003	(1.06742828528269e+002dB,1.36122342504124e+002°)
1.16437067494303e+003	(1.06654427638321e+002dB,1.36946000752231e+002°)
1.19149235208642e+003	(1.06569390853220e+002dB,1.37764636015369e+002°)
1.21924577424614e+003	(1.06487658483303e+002dB,1.38577551290555e+002°)
1.24764565665400e+003	(1.06409165428193e+002dB,1.39384085270958e+002°)
1.27670705730356e+003	(1.06333841734691e+002dB,1.40183614242573e+002°)
1.30644538493412e+003	(1.06261613164788e+002dB,1.40975553563803e+002°)
1.33687640720061e+003	(1.06192401766153e+002dB,1.41759358736804e+002°)
1.36801625903386e+003	(1.06126126437998e+002dB,1.42534526085637e+002°)
1.39988145119548e+003	(1.06062703485890e+002dB,1.43300593061613e+002°)
1.43248887903215e+003	(1.06002047159758e+002dB,1.44057138200603e+002°)
1.46585583143371e+003	(1.05944070170186e+002dB,1.44803780760509e+002°)
1.49999999999999e+003	(1.05888684178816e+002dB,1.45540180069626e+002°)
1.53493948842113e+003	(1.05835800259568e+002dB,1.46266034618188e+002°)
1.57069282207634e+003	(1.05785329328087e+002dB,1.46981080926183e+002°)
1.60727895785640e+003	(1.05737182537654e+002dB,1.47685092220496e+002°)
1.64471729421477e+003	(1.05691271640432e+002dB,1.48377876953839e+002°)
1.68302768145294e+003	(1.05647509313589e+002dB,1.49059277196672e+002°)
1.72223043224532e+003	(1.05605809450391e+002dB,1.49729166931714e+002°)
1.76234633240929e+003	(1.05566087416847e+002dB,1.50387450278587e+002°)
1.80339665192611e+003	(1.05528260274920e+002dB,1.51034059673945e+002°)
1.84540315621856e+003	(1.05492246973631e+002dB,1.51668954029949e+002°)
1.88838811769124e+003	(1.05457968509693e+002dB,1.52292116891516e+002°)
1.93237432753969e+003	(1.05425348059487e+002dB,1.52903554610188e+002°)
1.97738510783460e+003	(1.05394311084362e+002dB,1.53503294550056e+002°)
2.02344432388747e+003	(1.05364785411308e+002dB,1.54091383338716e+002°)
2.07057639690432e+003	(1.05336701291118e+002dB,1.54667885174044e+002°)
2.11880631693412e+003	(1.05309991436155e+002dB,1.55232880195415e+002°)
2.16815965611888e+003	(1.05284591039782e+002dB,1.55786462926096e+002°)
2.21866258225230e+003	(1.05260437779499e+002dB,1.56328740791746e+002°)
2.27034187265430e+003	(1.05237471805704e+002dB,1.56859832718438e+002°)
2.32322492836871e+003	(1.05215635717935e+002dB,1.57379867812197e+002°)
2.37733978869166e+003	(1.05194874530301e+002dB,1.57888984120867e+002°)
2.43271514603838e+003	(1.05175135627723e+002dB,1.58387327478088e+002°)
2.48938036115633e+003	(1.05156368714473e+002dB,1.58875050428309e+002°)
2.54736547869260e+003	(1.05138525756346e+002dB,1.59352311231020e+002°)
2.60670124312405e+003	(1.05121560917731e+002dB,1.59819272941851e+002°)
2.66741911505837e+003	(1.05105430494662e+002dB,1.60276102567685e+002°)
2.72955128791496e+003	(1.05090092844862e+002dB,1.60722970292621e+002°)
2.79313070499429e+003	(1.05075508315657e+002dB,1.61160048771360e+002°)
2.85819107694486e+003	(1.05061639170529e+002dB,1.61587512486416e+002°)
2.92476689963705e+003	(1.05048449515002e+002dB,1.62005537165476e+002°)
2.99289347245330e+003	(1.05035905222424e+002dB,1.62414299255174e+002°)
3.06260691700428e+003	(1.05023973860180e+002dB,1.62813975447603e+002°)
3.13394419628104e+003	(1.05012624616726e+002dB,1.63204742255886e+002°)
3.20000000000000e+003	(1.05002821665621e+002dB,1.63551183160678e+002°)
